[director] -> tool: transfer_to_agent
[detective] -> tool: list_datasources
[detective] -> tool: search_dashboards
[detective] -> tool: search_dashboards
[detective] -> tool: search_dashboards
[detective] -> tool: list_prometheus_metric_names
[detective] -> tool: alerting_manage_rules
[detective] -> tool: list_incidents
[detective] -> tool: list_incidents
[detective] -> tool: list_alert_groups
[detective] -> tool: query_prometheus
[detective] -> tool: query_prometheus
[detective] -> tool: query_prometheus
[detective] -> tool: query_prometheus
[detective] -> tool: query_prometheus
[detective] -> tool: query_prometheus
